ID	species	Vetor_FST_Estimado	Bio8_spp_sd	SD_Bio8_FST1	Bio8_spp_sd_fstPop	range_PA_0K	expand	expo_clim
1	Oreophryne_furu	0.069669759	0.750902053	0.724272275	0.750902053	1	1	0
2	Incilius_majordomus	0.069669759	1.079119477	1.040849889	1.079119477	1	2	0
3	Callulops_doriae	0.243649387	2.415189551	2.1004522	2.1004522	19	36	13
4	Hynobius_arisanensis	0.069669759	0.570276994	0.550052852	0.570276994	4	7	0
5	Osteocephalus_mimeticus	0.29112729	2.513863294	2.116536611	2.116536611	29	56	19
6	Raorchestes_luteolus	0.402224762	0.781193635	0.603987091	0.781193635	4	8	0
7	Ischnocnema_spanios	0.44394998	0.265750481	0.198166843	0.265750481	2	2	0
8	Xenorhina_anorbis	0.069669759	0.966565121	0.932287129	0.966565121	2	4	0
9	Rhacophorus_prominanus	0.069669759	0.852260265	0.822035948	0.822035948	20	40	7
10	Eurycea_robusta	0.069669759	0.872863229	0.841908254	0.872863229	1	2	0
11	Trachycephalus_venulosus	0.236110542	2.115904322	1.849316668	1.849316668	1171	1292	1081
12	Peltophryne_lemur	0.231979675	0.075130962	0.065842348	0.075130962	4	8	0
13	Brachycephalus_tridactylus	0.069669759	1.042589015	1.005614933	1.042589015	1	2	0
14	Allobates_trilineatus	0.422312669	2.989218548	2.271977833	2.271977833	108	167	81
15	Balebreviceps_hillmani	0.069669759	1.196583196	1.154147908	1.196583196	1	1	0
16	Leptodactylus_colombiensis	0.279246443	2.41600206	2.051118243	2.051118243	35	62	33
17	Petropedetes_johnstoni	0.327217822	1.61030168	1.320822581	1.320822581	32	49	24
18	Bolitoglossa_nigrescens	0.20177693	0.499219715	0.44601952	0.499219715	2	4	0
19	Cophixalus_saxatilis	0.069669759	0.678135417	0.654086214	0.678135417	1	2	0
20	Eleutherodactylus_apostates	0.351261233	0.192252022	0.154848086	0.192252022	2	2	0
21	Gegeneophis_mhadeiensis	0.069669759	0.899444534	0.867546888	0.899444534	1	2	0
22	Telmatobius_contrerasi	0.069669759	2.363973106	2.280137832	2.363973106	1	1	0
23	Philoria_kundagungan	0.398157851	0.735164911	0.570329808	0.735164911	2	4	0
24	Nymphargus_griffithsi	0.397803231	2.225519243	1.727032714	1.727032714	28	50	20
25	Nanorana_arnoldi	0.256972157	3.677281311	3.169782028	3.677281311	4	8	3
26	Amolops_vitreus	0.069669759	2.410515004	2.325029182	2.410515004	1	1	0
27	Beddomixalus_bijui	0.069669759	0.753910603	0.727174131	0.753910603	1	2	0
28	Ptychadena_anchietae	0.25474905	2.768224362	2.389750469	2.389750469	659	793	650
29	Aglyptodactylus_laticeps	0.069669759	0.74259084	0.716255809	0.74259084	1	2	0
30	Litoria_aurifera	0.069669759	0.586099396	0.565314133	0.586099396	1	2	0
31	Ichthyophis_hypocyaneus	0.164176991	0.362111181	0.331054195	0.362111181	4	8	0
32	Arthroleptis_schubotzi	0.069669759	1.305531921	1.259232906	1.259232906	6	12	2
33	Arthroleptis_nikeae	0.069669759	0.904741579	0.87265608	0.904741579	1	1	0
34	Eurycea_quadridigitata	0.235533978	3.298295393	2.883823268	2.883823268	111	149	63
35	Meristogenys_whiteheadi	0.069669759	1.009673716	0.973866933	0.973866933	6	11	1
36	Pachymedusa_dacnicolor	0.274238495	3.746241561	3.191484519	3.191484519	46	78	30
37	Leptolalax_hamidi	0.351342643	1.46368283	1.178839426	1.178839426	5	10	2
38	Phyllodytes_luteolus	0.069669759	0.822643125	0.793469142	0.793469142	31	50	7
39	Ichthyophis_lakimi	0.069669759	0.23800916	0.229568471	0.23800916	1	1	0
40	Dendropsophus_elianeae	0.069669759	1.502451981	1.449169449	1.449169449	26	26	15
41	Boophis_roseipalmatus	0.069669759	1.066414453	1.028595433	1.066414453	1	2	0
