ID	Species	Present	Stable_noExpand_V	Stable_noExpand	Stable_WhithExpand	Leading	Trailing	Future	prop_perda
2905	Pristimantis_pataikos	6	2	0	2	0	0	0	-1
232	Rhinella_magnussoni	4	1	0	1	0	0	0	-1
264	Odorrana_utsunomiyaorum	2	1	0	1	0	0	0	-1
389	Rhacophorus_owstoni	2	1	0	1	0	0	0	-1
394	Megaelosia_goeldii	4	1	0	1	0	0	0	-1
500	Megastomatohyla_mixe	1	1	0	1	0	0	0	-1
1205	Arenophryne_rotunda	5	1	0	1	0	0	0	-1
1445	Thorius_boreas	1	1	0	1	0	0	0	-1
1548	Plectrohyla_psarosema	1	1	0	1	0	0	0	-1
1647	Atelopus_nepiozomus	4	1	0	1	0	0	0	-1
1674	Afrixalus_orophilus	3	1	0	1	0	0	0	-1
1995	Rhinatrema_ron	2	1	0	1	0	0	0	-1
2184	Pristimantis_librarius	3	1	0	1	0	0	0	-1
2252	Eleutherodactylus_amadeus	2	1	0	1	0	0	0	-1
2312	Aplastodiscus_flumineus	2	1	0	1	0	0	0	-1
2433	Pseudoeurycea_saltator	1	1	0	1	0	0	0	-1
2533	Plectrohyla_lacertosa	2	1	0	1	0	0	0	-1
2741	Thorius_pulmonaris	1	1	0	1	0	0	0	-1
2761	Pristimantis_riveti	6	1	0	1	0	0	0	-1
2922	Craugastor_fecundus	2	1	0	1	0	0	0	-1
3061	Pristimantis_proserpens	4	1	0	1	0	0	0	-1
3181	Thorius_aureus	1	1	0	1	0	0	0	-1
3218	Thorius_smithi	1	1	0	1	0	0	0	-1
3226	Pristimantis_thymalopsoides	2	1	0	1	0	0	0	-1
3566	Odorrana_supranarina	2	1	0	1	0	0	0	-1
3614	Boophis_praedictus	3	1	0	1	0	0	0	-1
3666	Bolitoglossa_chinanteca	1	1	0	1	0	0	0	-1
3845	Pseudoeurycea_unguidentis	1	1	0	1	0	0	0	-1
3903	Eleutherodactylus_chlorophenax	2	1	0	1	0	0	0	-1
3988	Pseudoeurycea_smithi	1	1	0	1	0	0	0	-1
4003	Craugastor_polymniae	1	1	0	1	0	0	0	-1
4317	Thorius_macdougalli	1	1	0	1	0	0	0	-1
4363	Anomaloglossus_astralogaster	1	1	0	1	0	0	0	-1
4496	Plectrohyla_cyanomma	1	1	0	1	0	0	0	-1
4563	Eleutherodactylus_corona	2	1	0	1	0	0	0	-1
4866	Plectrohyla_celata	1	1	0	1	0	0	0	-1
4880	Pseudoeurycea_orchileucos	1	1	0	1	0	0	0	-1
5154	Raorchestes_beddomii	2	1	0	1	0	0	0	-1
5163	Plectrohyla_cyclada	1	1	0	1	0	0	0	-1
5185	Ecnomiohyla_echinata	1	1	0	1	0	0	0	-1
5257	Hylarana_volkerjane	2	1	0	1	0	0	0	-1
5841	Pristimantis_actites	2	1	0	1	0	0	0	-1
5865	Hynobius_stejnegeri	4	1	0	1	0	0	0	-1
6010	Pseudoeurycea_juarezi	1	1	0	1	0	0	0	-1
6029	Pseudoeurycea_aurantia	1	1	0	1	0	0	0	-1
6059	Dendropsophus_gaucheri	2	1	0	1	0	0	0	-1
6072	Plectrohyla_calvicollina	1	1	0	1	0	0	0	-1
6162	Pelophryne_linanitensis	2	1	0	1	0	0	0	-1
6324	Mantella_manery	2	1	0	1	0	0	0	-1
6436	Pristimantis_versicolor	4	1	0	1	0	0	0	-1
6490	Oedipina_collaris	1	1	0	1	0	0	0	-1
6634	Thorius_papaloae	1	1	0	1	0	0	0	-1
6674	Pseudoeurycea_mystax	1	1	0	1	0	0	0	-1
6714	Geotrypetes_pseudoangeli	2	1	0	1	0	0	0	-1
6785	Bolitoglossa_gomezi	2	1	0	1	0	0	0	-1
6811	Plectrohyla_sabrina	1	1	0	1	0	0	0	-1
6869	Thorius_insperatus	1	1	0	1	0	0	0	-1
6876	Ischnocnema_gualteri	2	1	0	1	0	0	0	-1
6915	Pseudoeurycea_papenfussi	1	1	0	1	0	0	0	-1
6929	Ischnocnema_erythromera	2	1	0	1	0	0	0	-1
1	Oreophryne_furu	1	0	0	0	0	0	0	-1
2	Incilius_majordomus	1	0	0	0	0	0	0	-1
4	Hynobius_arisanensis	4	0	0	0	0	0	0	-1
10	Eurycea_robusta	1	0	0	0	0	0	0	-1
13	Brachycephalus_tridactylus	1	0	0	0	0	0	0	-1
15	Balebreviceps_hillmani	1	0	0	0	0	0	0	-1
21	Gegeneophis_mhadeiensis	1	0	0	0	0	0	0	-1
23	Philoria_kundagungan	2	0	0	0	0	0	0	-1
29	Aglyptodactylus_laticeps	1	0	0	0	0	0	0	-1
33	Arthroleptis_nikeae	1	0	0	0	0	0	0	-1
39	Ichthyophis_lakimi	1	0	0	0	0	0	0	-1
41	Boophis_roseipalmatus	1	0	0	0	0	0	0	-1
44	Proceratophrys_carranca	1	0	0	0	0	0	0	-1
45	Hylodes_amnicola	1	0	0	0	0	0	0	-1
46	Pristimantis_adnus	1	0	0	0	0	0	0	-1
50	Cardioglossa_trifasciata	2	0	0	0	0	0	0	-1
52	Discodeles_malukuna	1	0	0	0	0	0	0	-1
54	Plethodon_savannah	1	0	0	0	0	0	0	-1
59	Eleutherodactylus_maestrensis	1	0	0	0	0	0	0	-1
60	Pseudophilautus_amboli	1	0	0	0	0	0	0	-1
65	Albericus_gudrunae	1	0	0	0	0	0	0	-1
67	Eleutherodactylus_rufescens	1	0	0	0	0	0	0	-1
68	Ichthyophis_acuminatus	1	0	0	0	0	0	0	-1
69	Cycloramphus_faustoi	1	0	0	0	0	0	0	-1
71	Leptodactylodon_erythrogaster	2	0	0	0	0	0	0	-1
73	Pristimantis_leucopus	1	0	0	0	0	0	0	-1
