ID	Long	Lat	Present	Stable_noExpand	Stable_WhithExpand	Leading	Future	Trailing	prop_perda	Turnover_beta	Nestedness_beta	Dissimilarity_beta
1	-179.5	65.5	0	0	0	0	0	0	0	0	0	0
2	-179.5	66.5	0	0	0	0	0	0	0	0	0	0
3	-179.5	67.5	0	0	0	0	0	0	0	0	0	0
4	-179.5	68.5	0	0	0	0	0	0	0	0	0	0
5	-179.5	70.5	0	0	0	0	0	0	0	0	0	0
6	-179.5	71.5	0	0	0	0	0	0	0	0	0	0
7	-178.5	65.5	0	0	0	0	0	0	0	0	0	0
8	-178.5	66.5	0	0	0	0	0	0	0	0	0	0
9	-178.5	67.5	0	0	0	0	0	0	0	0	0	0
10	-178.5	68.5	0	0	0	0	0	0	0	0	0	0
11	-178.5	70.5	0	0	0	0	0	0	0	0	0	0
12	-178.5	71.5	0	0	0	0	0	0	0	0	0	0
13	-177.5	65.5	0	0	0	0	0	0	0	0	0	0
14	-177.5	66.5	0	0	0	0	0	0	0	0	0	0
15	-177.5	67.5	0	0	0	0	0	0	0	0	0	0
16	-177.5	68.5	0	0	0	0	0	0	0	0	0	0
17	-177.5	71.5	0	0	0	0	0	0	0	0	0	0
18	-176.5	65.5	0	0	0	0	0	0	0	0	0	0
19	-176.5	66.5	0	0	0	0	0	0	0	0	0	0
20	-176.5	67.5	0	0	0	0	0	0	0	0	0	0
21	-176.5	68.5	0	0	0	0	0	0	0	0	0	0
22	-175.5	64.5	0	0	0	0	0	0	0	0	0	0
23	-175.5	65.5	0	0	0	0	0	0	0	0	0	0
24	-175.5	66.5	0	0	0	0	0	0	0	0	0	0
25	-175.5	67.5	0	0	0	0	0	0	0	0	0	0
26	-174.5	64.5	0	0	0	0	0	0	0	0	0	0
27	-174.5	65.5	0	0	0	0	0	0	0	0	0	0
28	-174.5	66.5	0	0	0	0	0	0	0	0	0	0
29	-174.5	67.5	0	0	0	0	0	0	0	0	0	0
30	-173.5	64.5	0	0	0	0	0	0	0	0	0	0
31	-173.5	65.5	0	0	0	0	0	0	0	0	0	0
32	-173.5	66.5	0	0	0	0	0	0	0	0	0	0
33	-173.5	67.5	0	0	0	0	0	0	0	0	0	0
34	-172.5	64.5	0	0	0	0	0	0	0	0	0	0
35	-172.5	65.5	0	0	0	0	0	0	0	0	0	0
36	-172.5	66.5	0	0	0	0	0	0	0	0	0	0
37	-172.5	67.5	0	0	0	0	0	0	0	0	0	0
38	-171.5	65.5	0	0	0	0	0	0	0	0	0	0
39	-171.5	66.5	0	0	0	0	0	0	0	0	0	0
40	-170.5	65.5	0	0	0	0	0	0	0	0	0	0
41	-170.5	66.5	0	0	0	0	0	0	0	0	0	0
42	-169.5	65.5	0	0	0	0	0	0	0	0	0	0
43	-169.5	66.5	0	0	0	0	0	0	0	0	0	0
44	25.5	40.5	1	0	0	0	1	1	0	0	0	0
45	26.5	38.5	7	2	3	1	8	5	0.142857143	0	0	0
46	26.5	39.5	8	2	3	1	9	6	0.125	0	0	0
47	26.5	40.5	12	2	4	2	14	10	0.166666667	0	0	0
48	26.5	41.5	13	12	12	0	13	1	0	0	0	0
49	26.5	42.5	9	6	8	3	11	3	0.222222222	0.111111111	0.046783626	0.157894737
50	27.5	36.5	5	1	2	1	6	4	0.2	0	0.090909091	0.090909091
51	27.5	37.5	6	6	6	0	6	0	0	0	0	0
52	27.5	38.5	7	7	9	2	9	0	0.285714286	0	0.125	0.125
53	27.5	39.5	9	9	10	1	10	0	0.111111111	0	0.052631579	0.052631579
54	27.5	40.5	7	5	5	0	7	2	0	0	0	0
55	27.5	41.5	9	9	8	0	8	0	-0.111111111	0	0.058823529	0.058823529
56	27.5	42.5	9	9	10	1	10	0	0.111111111	0	0.052631579	0.052631579
57	28.5	36.5	7	0	0	0	7	7	0	0	0	0
58	28.5	37.5	8	6	6	1	8	2	0	0.125	0	0.125
59	28.5	38.5	9	2	4	2	11	7	0.222222222	0	0.052631579	0.052631579
60	28.5	39.5	11	3	3	0	11	8	0	0	0	0
61	28.5	40.5	7	6	7	1	8	1	0.142857143	0	0.066666667	0.066666667
62	28.5	41.5	9	2	4	2	11	7	0.222222222	0	0	0
63	29.5	36.5	10	0	1	1	10	9	0	0.1	0	0.1
64	29.5	37.5	8	7	6	0	7	1	-0.125	0	0.066666667	0.066666667
65	29.5	38.5	9	7	8	1	9	1	0	0	0.058823529	0.058823529
66	29.5	39.5	11	7	10	3	14	4	0.272727273	0	0	0
67	29.5	40.5	11	8	8	0	11	3	0	0	0	0
68	29.5	41.5	7	1	1	0	7	6	0	0	0	0
69	30.5	36.5	8	1	1	0	7	6	-0.125	0	0.066666667	0.066666667
70	30.5	37.5	9	7	9	2	10	1	0.111111111	0.111111111	0	0.111111111
71	30.5	38.5	8	8	8	0	8	0	0	0	0	0
72	30.5	39.5	11	9	10	1	12	2	0.090909091	0	0	0
73	30.5	40.5	12	8	8	0	12	4	0	0	0	0
74	30.5	41.5	11	1	2	1	12	10	0.090909091	0	0.043478261	0.043478261
75	31.5	36.5	6	2	1	0	5	4	-0.166666667	0	0.090909091	0.090909091
76	31.5	37.5	9	7	8	1	9	1	0	0	0.058823529	0.058823529
77	31.5	38.5	8	2	3	1	9	6	0.125	0	0	0
78	31.5	39.5	8	0	0	0	8	8	0	0	0	0
79	31.5	40.5	9	7	8	1	10	2	0.111111111	0	0.052631579	0.052631579
80	31.5	41.5	9	2	1	0	8	7	-0.111111111	0	0.058823529	0.058823529
81	32.5	34.5	4	1	1	0	3	2	-0.25	0	0.142857143	0.142857143
82	32.5	35.5	3	3	2	0	2	0	-0.333333333	0	0.2	0.2
83	32.5	36.5	6	1	1	0	6	5	0	0	0	0
84	32.5	37.5	8	7	7	1	8	1	0	0	0.066666667	0.066666667
85	32.5	38.5	7	4	6	2	9	3	0.285714286	0	0.066666667	0.066666667
86	32.5	39.5	9	1	1	0	9	8	0	0	0	0
87	32.5	40.5	8	3	2	0	6	4	-0.25	0	0.142857143	0.142857143
88	32.5	41.5	9	4	5	1	9	4	0	0	0.058823529	0.058823529
89	33.5	34.5	3	1	1	0	3	2	0	0	0	0
90	33.5	35.5	3	3	1	0	1	0	-0.666666667	0	0.5	0.5
91	33.5	36.5	6	0	0	0	6	6	0	0	0	0
92	33.5	37.5	5	4	7	3	8	1	0.6	0	0.230769231	0.230769231
93	33.5	38.5	3	0	3	3	6	3	1	0	0.25	0.25
94	33.5	39.5	5	1	1	0	5	4	0	0	0	0
95	33.5	40.5	8	1	1	0	7	6	-0.125	0	0.066666667	0.066666667
96	33.5	41.5	9	1	1	0	8	7	-0.111111111	0	0.058823529	0.058823529
97	33.5	42.5	8	3	1	0	6	5	-0.25	0	0.142857143	0.142857143
98	34.5	28.5	0	0	0	0	0	0	0	0	0	0
99	34.5	29.5	2	1	2	1	3	1	0.5	0	0	0
100	34.5	30.5	3	3	4	1	4	0	0.333333333	0	0.142857143	0.142857143
101	34.5	31.5	6	0	1	1	7	6	0.166666667	0	0	0
102	34.5	32.5	5	1	1	0	5	4	0	0	0	0
103	34.5	34.5	3	1	1	0	3	2	0	0	0	0
104	34.5	35.5	3	3	2	0	2	0	-0.333333333	0	0.2	0.2
105	34.5	36.5	8	0	0	0	8	8	0	0	0	0
106	34.5	37.5	9	7	8	1	10	2	0.111111111	0	0	0
107	34.5	38.5	3	3	3	0	3	0	0	0	0	0
108	34.5	39.5	5	2	3	1	6	3	0.2	0	0.090909091	0.090909091
109	34.5	40.5	7	1	2	1	8	6	0.142857143	0	0.066666667	0.066666667
110	34.5	41.5	10	1	3	2	11	8	0.1	0	0.052631579	0.052631579
111	34.5	42.5	9	6	5	0	8	3	-0.111111111	0	0.058823529	0.058823529
112	35.5	26.5	0	0	1	1	1	0	0	0	0	1
113	35.5	27.5	1	1	1	0	1	0	0	0	0	0
114	35.5	28.5	1	0	0	0	1	1	0	0	0	0
115	35.5	29.5	2	0	2	2	4	2	1	0	0	0
116	35.5	30.5	3	3	2	1	2	0	-0.333333333	0.5	0.1	0.6
117	35.5	31.5	6	5	5	0	6	1	0	0	0	0
118	35.5	32.5	5	3	3	0	5	2	0	0	0	0
119	35.5	33.5	6	0	1	1	6	5	0	0	0.090909091	0.090909091
120	35.5	34.5	5	4	3	0	4	1	-0.2	0	0.111111111	0.111111111
121	35.5	35.5	7	6	5	0	6	1	-0.142857143	0	0.076923077	0.076923077
122	35.5	36.5	8	0	3	3	11	8	0.375	0	0	0
123	35.5	37.5	10	9	9	1	10	1	0	0	0.052631579	0.052631579
124	35.5	38.5	5	4	5	1	6	1	0.2	0	0	0
125	35.5	39.5	5	3	5	2	7	2	0.4	0	0.090909091	0.090909091
126	35.5	40.5	7	1	1	0	7	6	0	0	0	0
127	35.5	41.5	9	1	2	1	9	7	0	0	0.058823529	0.058823529
128	35.5	42.5	9	6	5	0	8	3	-0.111111111	0	0.058823529	0.058823529
129	36.5	25.5	0	0	0	0	0	0	0	0	0	0
130	36.5	26.5	0	0	0	0	0	0	0	0	0	0
131	36.5	27.5	1	0	0	0	1	1	0	0	0	0
132	36.5	28.5	1	0	1	1	2	1	1	0	0	0
133	36.5	29.5	2	0	1	1	3	2	0.5	0	0	0
134	36.5	30.5	2	2	1	1	1	0	-0.5	1	0	1
135	36.5	31.5	5	4	2	0	3	1	-0.4	0	0.25	0.25
136	36.5	32.5	5	0	1	1	6	5	0.2	0	0	0
137	36.5	33.5	5	1	1	0	5	4	0	0	0	0
138	36.5	34.5	5	1	4	3	8	4	0.6	0	0.166666667	0.166666667
139	36.5	35.5	7	3	3	2	7	4	0	0	0.166666667	0.166666667
140	36.5	36.5	9	1	3	2	11	8	0.222222222	0	0	0
141	36.5	37.5	9	8	7	0	8	1	-0.111111111	0	0.058823529	0.058823529
142	36.5	38.5	6	5	6	1	7	1	0.166666667	0	0	0
143	36.5	39.5	6	3	3	1	6	3	0	0	0.090909091	0.090909091
144	36.5	40.5	8	3	3	0	8	5	0	0	0	0
145	36.5	41.5	8	3	4	1	9	5	0.125	0	0	0
146	37.5	24.5	0	0	0	0	0	0	0	0	0	0
147	37.5	25.5	0	0	0	0	0	0	0	0	0	0
148	37.5	26.5	0	0	0	0	0	0	0	0	0	0
